_id,Group,Name,Description
8151,"Crushing-, grinding- and chemical-mixing-machinery operators",ผู้ปฏิบัติการเครื่องจักรที่ทำการบด โม่ และผสมทางเคมี่,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรที่ทำการบด โม่และผสม เพื่อทำให้สารเคมีและวัสดุต่าง ๆ ที่เป็นก้อนของแข็งมีขนาดตามที่ต้องการสำหรับใช้ในการแปรรูปขั้นต่อไปรวมถึงควบคุมดูแลเครื่องจักรที่ใช้ในการผสมสารเคมีและวัสดุอื่น ๆ ที่เกี่ยวข้อง
8152,Chemical-heat-treating-plant operators,ผู้ปฏิบัติการเครื่องจักรโรงงานที่ใช้ความร้อนโดยกระบวนการทางเคมี,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรและอุปกรณ์การทำงาน เกี่ยวกับการใช้ความร้อนโดยกระบวนการทางเคมี เพื่อทำให้มีคุณสมบัติพิเศษ หรือเพื่อทำให้มีการเปลี่ยนแปลงทางเคมี รวมถึงการคุมเตาเผาเพื่อเผาส่วนผสมของวัตถุดิบที่บดแล้ว เช่น หิน ดินและวัตถุอื่น ๆเพื่อผลิตซีเมนต์
8153,Chemical-filtering- and separating-equipment operators,ผู้ปฏิบัติการเครื่องจักรอุปกรณ์การกรองและการแยกทางเคมี,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรและอุปกรณ์การกรองและการแยกทางเคมีเช่น การแยกของแข็งออกจากของเหลว หรือแยกของเหลวที่มีความถ่วงจำเพาะต่างกันด้วยเครื่องกรองและเครื่องมืออื่น ๆ การใช้เครื่องแยกเพื่อแยกของเหลวด้วยระบบหนีศูนย์ การแยกน้ำมันดิบเพื่อขจัดตะกอนและน้ำออกจากน้ำมัน ฯลฯ
8154,Chemical-still and reactor operators (except petroleum and natural gas),ผู้ปฏิบัติการเครื่องกลั่นและเครื่องปฏิกรณ์ทางเคมี (ยกเว้น ผลิตภัณฑ์ปิโตรเลียมและก๊าซธรรมชาติ),ทำหน้าที่ปฏิบัติงานและควบคุมดูแลอุปกรณ์ที่ทำการกลั่น และทำให้ผลิตภัณฑ์เคมีบริสุทธิ์ การใช้เครื่องกลั่นสารเคมีเหลวและแอลกอฮอล์เพื่อทำเครื่องดื่ม รวมถึงการใช้เครื่องทำระเหย ภาชนะสุญญากาศหรืออุปกรณ์ที่มีลักษณะคล้ายคลึงกัน เพื่อเพิ่มความเข้มข้นของสารละลายและสารแขวนลอย
8155,Petroleum- and natural-gas-refining-plant operators,ผู้ปฏิบัติการเครื่องจักรโรงงานกลั่นน้ำมันปิโตรเลียมและก๊าซธรรมชาติ,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรและอุปกรณ์การกลั่นน้ำมัน เพื่อแยกน้ำมันดิบให้เป็นผลิตภัณฑ์ต่าง ๆ หรือทำให้ผลิตภัณฑ์ปิโตรเลียมบริสุทธิ์ การควบคุมเครื่องแยกกำมะถันออกจากน้ำมันดิบหรือน้ำมันที่กลั่นแล้วโดยใช้เคมีภัณฑ์ การควบคุมเครื่องสูบและระบบการส่งผลิตภัณฑ์ปิโตรเลียมและของเหลวไปตามท่อภายในโรงงาน
8159,Chemical-processing-plant operators not elsewhere classified,ผู้ปฏิบัติการเครื่องจักรโรงงานแปรรูปทางเคมี ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรและอุปกรณ์ต่าง ๆ ที่บำบัดสารละลายเคมีที่มีสารปฏิกิริยาในการฟอกย้อม การควบคุมดูแลโรงงานที่ผลิตถ่านโค้กหรือก๊าซจากถ่านหิน โรงงานที่ทำการบีบอัดและขึ้นรูปสารโพลีเมอร์ที่เกิดตามธรรมชาติหรือเป็นสารสังเคราะห์ ให้กลายเป็นเส้นใยสังเคราะห์ รวมถึงควบคุมดูแลอุปกรณ์โรงงานผลิตปุ๋ย หรือโรงงานที่ทำการแยกและสกัดเพื่อให้ได้วัสดุสารกัมมันตภาพรังสีจากสินแร่
8161,Power-production plant operators,ผู้ปฏิบัติการเครื่องจักรโรงงานผลิตพลังงาน,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรและอุปกรณ์ผลิตกระแสไฟฟ้า เช่น ผลิตกระแสไฟฟ้าด้วยพลังงานน้ำ พลังงานนิวเคลียร์ พลังงานแสงอาทิตย์ พลังงาน ลม คลื่นทะเลความร้อนใต้พิภพ ถ่านหิน น้ำมันหรือก๊าซ ฯลฯ รวมถึงการควบคุมการส่งและการแจกจ่ายกระแสไฟฟ้าจากสถานีผลิตกระแสไฟฟ้า
8162,Steam-engine and boiler operators,ผู้ปฏิบัติการเครื่องจักรไอน้ำและหม้อน้ำ (boiler),ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรไอน้ำ ถ่านหิน หรือน้ำมัน หรือหม้อน้ำทั้งที่ติดตั้งใช้งานบนฝั่งและบนเรือเดินทะเล
8163,"Incinerator, water-treatment and related plant operators",ผู้ปฏิบัติการเตาเผาขยะ โรงงานบำบัดน้ำเสียและผู้ปฏิบัติการเครื่องจักรโรงงานอื่น ๆที่เกี่ยวข้อง,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลเครื่องจักรและอุปกรณ์ประเภทต่าง ๆ เช่น เตาเผาขยะ โรงงานบำบัดน้ำเสีย เครื่องคอมเพรสเซอร์อากาศและก๊าซ การควบคุมระบบเครื่องทำความเย็นความร้อน เครื่องระบายอากาศหรือเครื่องปรับอากาศ และการทำน้ำให้บริสุทธิ์ เพื่อการอุปโภคและบริโภค รวมถึงการควบคุมดูแลการขนส่งของเหลว ก๊าซ วัสดุกึ่งของเหลวและวัสดุที่เป็นผง ตลอดจนควบคุมระบบทำความเย็นสำหรับกระบวนการทางอุตสาหกรรม
8171,Automated-assembly-line operators,ผู้ปฏิบัติงานควบคุมการประกอบชิ้นส่วนอัตโนมัติ่,ทำหน้าที่ปฏิบัติงานและควบคุมดูแลการประกอบชิ้นส่วนอัตโนมัติหรือแบบกึ่งอัตโนมัติในโรงงานอุตสาหกรรม
